,0,1,2,3,4,5,6,7,8,9,10,11,12,username
146,1,2,1,5,3,6,1,5,10,43,98,17,80,632
147,1,2,3,5,0,0,7,0,20,35,56,17,471,419
148,0,0,0,2,2,3,2,8,18,68,228,18,345,49
149,2,1,0,2,1,6,7,5,9,74,102,18,175,56
150,0,3,1,1,3,0,1,5,0,66,199,14,371,305
151,1,2,3,3,1,2,1,0,4,54,157,13,386,375
152,2,1,0,0,5,2,0,5,11,25,253,0,300,597
153,1,2,3,3,2,0,0,11,11,40,37,1,360,51
154,1,2,3,4,4,2,7,6,8,66,64,0,204,295
155,2,1,3,5,4,5,1,11,22,18,208,0,206,373
156,2,1,2,0,2,1,4,3,7,97,12,0,403,175
157,0,3,0,1,2,3,3,12,17,95,230,6,220,547
158,2,1,2,3,3,2,0,2,5,22,130,7,453,359
159,1,2,1,4,3,3,5,6,13,33,106,0,180,405
160,2,1,3,2,4,4,1,7,9,59,101,11,451,523
161,0,0,1,3,1,6,3,4,3,61,266,17,428,181
162,0,2,1,3,1,4,7,8,12,4,222,2,153,207
163,0,1,2,4,0,6,1,4,6,22,263,0,53,448
164,2,1,0,2,2,5,6,14,5,75,159,20,171,559
165,2,1,3,0,5,2,6,3,12,2,32,0,45,431
166,2,2,1,1,2,0,0,6,15,56,185,15,226,343
167,1,2,1,4,3,4,6,5,3,3,139,4,219,495
168,2,1,3,1,5,2,2,4,21,58,217,0,34,654
169,1,2,1,4,5,3,4,12,5,10,289,13,272,309
170,1,0,0,3,2,0,6,12,6,46,288,15,299,18
171,0,1,2,1,3,4,0,13,16,17,138,0,194,398
172,0,2,2,4,3,5,2,1,2,62,216,0,284,372
173,1,2,0,1,3,6,1,6,5,6,136,0,38,500
174,0,0,2,2,5,6,0,8,12,42,279,0,477,482
175,2,1,2,3,5,0,4,8,11,10,222,5,101,512
176,2,1,3,4,2,6,4,9,13,79,113,0,35,109
177,2,1,1,2,1,1,4,9,3,8,149,0,85,35
178,2,1,3,0,0,6,3,6,6,13,271,6,179,270
179,1,2,1,4,2,6,4,9,4,26,129,10,90,416
180,2,0,2,5,1,6,5,4,16,86,266,15,398,505
181,0,2,1,3,4,6,6,6,6,66,51,9,427,141
182,2,1,0,5,0,3,1,6,5,11,296,11,456,72
183,2,0,2,1,2,6,5,10,1,88,15,0,203,665
184,1,0,3,2,3,5,4,12,15,66,266,0,402,451
185,2,1,2,1,2,0,3,8,10,20,230,19,333,235
186,2,1,1,5,3,2,2,6,17,43,52,16,274,183
187,1,2,0,3,3,2,3,0,7,49,298,6,186,195
188,1,2,0,2,5,6,0,9,7,36,277,0,348,323
189,0,2,0,0,5,0,2,13,4,27,44,0,46,522
190,0,1,0,4,1,0,6,10,8,27,165,5,169,225
191,2,1,0,2,3,6,4,6,21,69,235,17,180,533
192,2,2,2,3,3,1,1,13,3,77,159,11,486,224
193,2,1,2,5,0,5,4,0,21,91,32,19,190,590
194,2,1,1,5,1,6,4,4,10,87,32,0,224,497
195,1,2,1,2,4,6,2,6,10,8,35,0,280,214
196,0,3,2,3,2,6,1,6,2,48,226,0,263,86
197,1,2,0,3,0,2,5,8,11,18,26,0,65,120
198,1,2,3,3,1,3,1,5,14,96,128,7,469,595
199,2,0,2,4,2,4,5,7,13,30,132,9,478,476
200,1,2,3,0,2,0,4,6,19,93,292,4,465,111
201,1,2,3,1,2,0,6,4,21,94,128,0,337,134
202,1,2,3,1,1,6,6,14,1,23,231,0,439,102
203,2,1,2,2,4,5,2,10,3,50,216,0,432,237
204,2,0,2,3,3,5,4,2,14,87,103,0,89,617
205,0,2,0,0,0,6,5,2,6,86,246,0,61,71
206,0,3,1,3,3,4,3,8,12,84,124,1,237,103
207,1,0,2,3,5,3,6,4,7,73,210,0,0,528
208,2,1,0,5,5,0,7,4,10,65,165,0,339,104
209,1,0,3,2,1,6,0,14,7,94,5,14,337,297
210,2,1,2,3,3,3,6,1,6,65,298,15,279,14
211,0,1,0,3,0,6,3,4,19,46,109,3,10,252
212,2,1,0,0,4,4,6,1,8,77,30,6,8,376
213,1,2,1,3,2,3,0,3,1,96,143,20,469,271
214,1,2,1,1,3,1,2,12,17,76,222,4,69,394
215,0,3,3,3,1,3,6,12,21,16,277,17,409,658
216,1,2,2,2,2,2,4,11,5,79,143,11,347,527
217,1,2,2,4,3,2,7,0,20,21,208,20,465,62
218,2,1,2,1,0,2,2,12,0,84,195,10,437,31
219,1,2,2,5,4,3,6,2,8,74,223,18,245,494
220,1,2,0,0,4,1,2,3,19,13,118,0,198,44
221,2,0,2,4,1,2,4,3,22,40,96,8,25,333
222,0,3,1,5,2,6,7,3,6,80,296,0,35,157
223,2,0,3,3,4,2,0,11,18,62,48,10,111,643
224,2,1,0,3,4,1,1,6,8,8,85,14,474,259
225,0,1,1,3,5,6,2,3,5,34,80,13,280,581
226,0,0,1,0,1,1,3,3,18,52,307,0,197,371
227,1,2,2,1,2,1,3,11,2,93,281,9,167,645
228,0,3,0,3,1,0,5,9,16,98,192,1,376,148
229,0,3,2,3,3,1,3,12,21,40,244,11,124,554
230,1,0,3,2,5,0,4,5,3,9,8,1,454,167
231,2,1,2,1,0,2,4,0,7,23,204,10,387,627
232,2,1,3,3,1,5,2,1,17,93,197,0,325,365
233,1,0,2,2,4,1,4,4,9,75,19,14,245,28
234,1,2,3,3,4,0,1,5,14,69,299,10,136,612
235,1,2,0,3,1,4,7,6,16,1,109,0,9,389
