,friend1,friend2,weight
166,vidit.jain.127,rachit.jain.7169,0.0
167,vidit.jain.127,100018219152388,0.21428571428571427
168,vidit.jain.127,tanmay.garg.7,0.0
169,vidit.jain.127,umaid.bhawan.palace/,0.0
170,vidit.jain.127,deeizzbak,0.07142857142857142
171,vidit.jain.127,divyansh.agarwal2,0.14285714285714285
172,vidit.jain.127,100009019619470,0.14285714285714285
173,vidit.jain.127,ishani.1402,0.21428571428571427
174,vidit.jain.127,fitmuscleTV/,0.0
175,vidit.jain.127,bhavya.srivastava2,0.14285714285714285
176,100003841880135,kshitij.gulati,0.0
177,100003841880135,satvik.agarwal.982292,0.0
178,100003841880135,aryan.khanna.796774,0.14285714285714285
179,100003841880135,Ishita.Gupta.20,0.0
180,100003841880135,prakriti.pavani,0.07142857142857142
181,100003841880135,yash.gupta.507,0.0
182,100003841880135,PBSGrocks,0.07142857142857142
183,100003841880135,manjari2017/,0.0
184,100003841880135,friyan.bajan,0.07142857142857142
185,100003841880135,clat2020official/,0.0
186,100003841880135,angel.walia.79069,0.0
187,100003841880135,akshitarox,0.14285714285714285
188,100003841880135,TheHumourShots/,0.0
189,100003841880135,sifat.chugh,0.0
190,100003841880135,smartgeek.69,0.07142857142857142
191,100003841880135,100001589774960,0.14285714285714285
192,100003841880135,MojoJojo345,0.14285714285714285
193,100003841880135,saransh99907,0.0
194,100003841880135,Gargi-College-Student-Portal-1430411847228731/,0.0
195,100003841880135,vaarya.srivastava,0.0
196,100003841880135,saharshgupta22,0.07142857142857142
197,100003841880135,nikhila.kalia,0.0
198,100003841880135,naman.khosla98,0.07142857142857142
199,100003841880135,100001621463778,0.14285714285714285
200,100003841880135,shagunrungta,0.0
201,100003841880135,hitasha.mittal,0.0
202,100003841880135,100005931842072,0.0
203,100003841880135,muskaan.dureja.3,0.07142857142857142
204,100003841880135,AliKhan2510,0.07142857142857142
205,100003841880135,adhvik.gupta.39,0.07142857142857142
206,100003841880135,khushii.raj.5,0.21428571428571427
207,100003841880135,shreeda.p.bhatia,0.07142857142857142
208,100003841880135,ekansh.arora.54,0.14285714285714285
209,100003841880135,Raunaqenjoy,0.0
